n,m,replicate,alg_name,cover_size,runtime_ms,is_cover,optimal_size,approx_ratio
10,21,0,optimal,6,0.47866697423160076,True,6.0,1.0
10,21,0,edge_2approx,8,0.0342091079801321,True,6.0,1.3333333333333333
10,21,0,degree_greedy,6,0.016666017472743988,True,6.0,1.0
10,21,1,optimal,5,0.32162503339350224,True,5.0,1.0
10,21,1,edge_2approx,8,0.026332912966609,True,5.0,1.6
10,21,1,degree_greedy,5,0.02041715197265148,True,5.0,1.0
10,21,2,optimal,5,0.278000021353364,True,5.0,1.0
10,21,2,edge_2approx,8,0.02383394166827202,True,5.0,1.6
10,21,2,degree_greedy,5,0.010666903108358383,True,5.0,1.0
10,21,3,optimal,6,0.48895785585045815,True,6.0,1.0
10,21,3,edge_2approx,8,0.023124972358345985,True,6.0,1.3333333333333333
10,21,3,degree_greedy,6,0.011750031262636185,True,6.0,1.0
10,21,4,optimal,6,0.4518341738730669,True,6.0,1.0
10,21,4,edge_2approx,8,0.022791093215346336,True,6.0,1.3333333333333333
10,21,4,degree_greedy,6,0.011875061318278313,True,6.0,1.0
20,51,0,edge_2approx,18,0.04633283242583275,True,,
20,51,0,degree_greedy,12,0.045582884922623634,True,,
20,51,1,edge_2approx,16,0.045999884605407715,True,,
20,51,1,degree_greedy,10,0.027624890208244324,True,,
20,51,2,edge_2approx,18,0.08937506936490536,True,,
20,51,2,degree_greedy,11,0.03345799632370472,True,,
20,51,3,edge_2approx,14,0.046042026951909065,True,,
20,51,3,degree_greedy,9,0.024999957531690598,True,,
20,51,4,edge_2approx,16,0.044042011722922325,True,,
20,51,4,degree_greedy,13,0.033125048503279686,True,,
50,141,0,edge_2approx,38,0.10366598144173622,True,,
50,141,0,degree_greedy,28,0.13008387759327888,True,,
50,141,1,edge_2approx,38,0.09816698729991913,True,,
50,141,1,degree_greedy,25,0.11595804244279861,True,,
50,141,2,edge_2approx,40,0.09683310054242611,True,,
50,141,2,degree_greedy,29,0.13270811177790165,True,,
50,141,3,edge_2approx,44,0.1033339649438858,True,,
50,141,3,degree_greedy,28,0.12670899741351604,True,,
50,141,4,edge_2approx,36,0.10854098945856094,True,,
50,141,4,degree_greedy,26,0.1177499070763588,True,,
100,291,0,edge_2approx,80,0.2030839677900076,True,,
100,291,0,degree_greedy,54,0.4178748931735754,True,,
100,291,1,edge_2approx,80,0.19741710275411606,True,,
100,291,1,degree_greedy,54,0.43191714212298393,True,,
100,291,2,edge_2approx,72,0.20612496882677078,True,,
100,291,2,degree_greedy,48,0.37100003100931644,True,,
100,291,3,edge_2approx,78,0.19708299078047276,True,,
100,291,3,degree_greedy,51,0.3932500258088112,True,,
100,291,4,edge_2approx,80,0.2043331041932106,True,,
100,291,4,degree_greedy,55,0.4401670303195715,True,,
